,Gender,Age,Education,Party,Race,Region,Marital,RACESURV10,RACESURV11,RACESURV6,RACESURV7,RACESURV20,RACESURV22
0,2,2,1,4,3,4,1,2,3,2,2,2,4
1,2,4,3,2,3,1,1,2,2,2,1,2,2
5,1,2,1,2,2,3,6,2,3,2,2,2,3
7,2,2,1,2,3,2,3,2,2,2,2,3,4
8,2,1,1,3,3,1,6,2,3,1,2,3,2
9,1,4,3,3,2,3,1,2,2,2,2,2,2
12,2,3,1,3,2,3,3,2,2,2,1,2,1
14,2,1,2,3,3,3,1,1,3,1,3,2,3
16,2,3,2,3,2,3,3,2,2,2,2,2,4
21,1,2,3,2,3,3,1,2,2,2,3,3,4
23,1,3,3,2,2,2,1,2,2,2,2,2,4
24,2,4,1,2,2,3,1,2,3,2,1,2,4
25,1,1,2,2,2,3,6,2,2,2,2,2,1
26,1,2,3,2,3,4,1,2,2,2,1,2,4
32,2,3,1,3,2,4,3,2,2,2,1,1,3
33,2,2,3,3,2,3,6,2,3,1,3,3,4
36,2,2,2,3,2,3,4,2,2,2,1,1,3
38,2,3,3,1,3,3,1,99,99,2,99,3,99
39,1,2,2,2,3,3,6,2,2,2,2,2,2
44,2,1,3,2,3,2,2,2,2,1,3,3,4
46,1,2,3,99,3,3,2,2,3,2,1,3,4
48,1,1,3,2,3,3,6,2,3,1,3,3,4
50,1,2,2,2,3,4,1,2,2,2,2,2,1
51,2,3,3,2,3,1,4,2,2,2,1,2,4
52,2,1,1,4,3,4,1,2,3,2,3,2,4
54,2,3,3,2,3,2,1,2,2,1,3,3,4
57,2,1,3,2,2,3,2,2,2,1,4,3,4
59,1,4,1,2,3,1,3,2,2,2,3,3,4
60,2,1,2,2,2,4,1,2,2,2,3,2,4
61,1,1,3,2,3,3,1,1,2,2,2,2,4
63,2,1,3,4,2,3,6,1,3,1,4,2,2
65,1,2,3,2,2,3,6,2,1,2,2,2,2
66,2,2,3,2,3,4,1,1,2,2,3,2,3
68,1,1,2,2,3,1,6,1,3,2,2,2,2
69,2,3,1,2,2,3,1,1,2,2,1,2,2
70,2,2,1,99,2,3,6,2,99,2,4,3,4
71,2,4,1,2,2,3,3,2,3,1,2,2,2
75,1,2,3,4,3,4,1,1,2,2,3,3,2
77,2,1,3,4,2,3,2,1,3,1,3,2,2
79,2,4,3,2,2,4,1,2,1,2,2,2,1
81,1,2,1,2,2,1,2,2,2,2,1,2,4
82,2,1,1,99,2,3,6,2,2,2,2,2,4
83,2,4,3,2,2,3,5,2,2,2,3,3,1
84,1,3,2,2,2,2,1,2,2,2,1,2,3
86,1,3,3,99,2,2,5,2,2,2,2,2,2
88,1,2,1,3,2,4,1,2,2,1,2,2,4
89,2,1,2,99,3,3,6,1,99,1,99,3,2
90,2,2,2,2,2,3,6,1,3,2,3,2,4
93,1,2,2,2,2,3,1,2,3,2,2,2,3
94,1,3,2,3,2,2,1,2,2,2,2,2,2
95,1,3,1,1,2,1,1,1,1,1,4,2,4
96,1,2,3,3,3,1,1,2,2,2,3,3,4
98,2,2,3,3,2,1,1,99,99,1,4,3,4
99,1,1,1,4,3,1,2,1,1,2,2,3,3
100,2,3,2,2,2,1,3,2,2,2,1,1,1
107,1,3,2,2,2,3,1,2,2,2,3,2,4
108,2,3,1,2,2,3,3,2,2,2,2,2,4
109,1,2,2,3,2,1,1,2,2,2,1,1,3
111,2,1,3,3,2,1,3,2,1,1,3,1,2
113,2,4,1,4,2,3,5,2,3,2,1,2,3
114,1,3,3,2,2,3,1,2,3,2,3,3,2
117,2,1,3,2,2,1,1,2,2,2,1,2,2
119,1,4,2,1,3,3,1,1,3,1,2,3,3
121,2,2,1,1,3,3,1,2,2,1,3,2,2
123,2,1,1,3,3,1,6,2,2,2,1,2,3
124,1,2,1,2,2,2,6,2,2,2,1,2,2
127,2,4,3,2,3,4,3,2,2,2,2,2,3
136,1,4,3,2,2,2,2,2,3,2,2,2,2
140,1,2,3,2,3,2,1,1,3,1,3,3,4
141,2,3,3,1,3,4,1,2,1,1,2,1,2
144,1,3,3,3,2,3,6,2,3,2,3,3,2
146,1,3,1,3,2,3,3,2,2,1,2,2,4
147,2,2,3,4,2,1,6,2,3,1,4,3,4
149,1,2,3,99,3,3,1,1,1,1,2,3,3
153,2,2,2,3,2,3,3,2,2,2,1,2,2
156,2,2,2,99,3,2,1,2,2,1,2,2,4
160,1,2,2,3,2,1,6,1,3,1,4,3,4
161,1,2,3,2,2,2,6,2,2,2,2,2,3
163,1,2,2,3,3,3,1,1,3,1,3,3,4
166,1,2,2,1,3,4,1,1,3,1,2,2,2
168,1,3,3,3,3,1,1,2,2,2,3,2,3
171,2,2,3,2,2,2,1,2,1,2,1,2,4
172,1,2,3,4,3,1,3,1,2,1,4,2,4
173,2,2,1,3,2,3,1,2,2,2,2,2,2
174,1,2,1,2,3,4,3,2,3,2,1,2,3
177,1,1,3,4,2,4,1,2,3,99,1,2,4
178,2,2,3,3,3,4,1,1,3,2,3,3,3
179,1,4,1,2,2,3,1,2,2,2,2,1,2
180,2,3,1,99,2,2,4,2,2,2,1,2,1
181,1,3,1,3,3,3,3,1,2,1,4,2,4
183,2,1,2,2,2,2,2,2,2,2,1,2,1
186,2,2,2,2,2,2,6,2,2,2,2,2,2
187,1,2,2,2,3,4,1,2,2,1,2,3,4
188,1,2,1,2,2,4,6,2,1,2,1,2,3
189,2,2,3,2,3,4,1,2,3,2,3,99,2
192,1,1,3,4,2,3,2,1,3,2,4,3,4
193,1,4,1,1,3,4,1,1,1,1,3,2,3
194,2,2,1,4,2,3,6,2,1,2,2,2,3
195,2,4,3,2,3,3,5,2,3,2,3,3,4
198,2,2,1,2,2,1,1,2,2,2,2,3,2
199,2,2,2,4,2,1,2,2,2,2,2,2,2
201,1,4,2,2,3,4,1,2,2,1,2,2,1
202,1,2,2,2,2,3,6,2,2,2,2,2,3
203,2,2,3,4,3,4,1,2,3,1,1,1,3
206,1,2,1,2,3,3,1,2,2,2,2,1,2
207,2,1,1,2,2,1,6,2,2,2,3,2,3
210,1,4,2,2,2,2,4,2,2,2,2,2,3
212,2,4,1,3,2,1,1,2,2,2,1,2,4
213,2,1,2,2,2,3,6,1,3,2,1,2,2
215,2,3,3,2,3,3,3,1,3,2,4,2,2
216,2,3,3,2,2,3,1,1,1,2,1,3,4
217,2,1,3,2,2,3,6,1,2,2,3,3,4
218,2,3,1,99,2,4,2,2,2,2,2,2,2
219,2,1,3,4,3,4,6,1,1,2,2,3,3
220,1,3,3,2,3,4,3,1,1,2,3,1,2
223,2,4,1,2,2,3,5,2,3,2,2,3,3
224,2,2,3,4,3,4,1,1,3,2,4,3,3
226,1,2,1,3,2,3,1,1,2,2,2,2,3
237,2,2,3,2,3,1,1,2,3,2,4,3,4
240,2,1,3,99,3,4,1,1,1,2,3,2,2
